index,timestamp,x,y,z,Qx,Qy,Qz,Qw
305,1722943253.569601,-5.104773,0.405115,-0.117812,0.043967,0.075967,0.810746,0.578781
306,1722943253.970121,-5.006039,0.476252,-0.059214,0.043700,0.071998,0.806173,0.585654
307,1722943254.237334,-4.920340,0.520066,-0.026611,0.035433,0.031154,0.759208,0.649135
308,1722943254.504321,-4.830600,0.542226,-0.009597,0.023922,0.034661,0.683463,0.728769
309,1722943254.771380,-4.685229,0.541860,-0.025820,0.014569,0.030228,0.603690,0.796512
310,1722943255.038278,-4.489737,0.540752,-0.021694,0.023146,0.016844,0.545696,0.837494
311,1722943255.705934,-4.132440,0.645825,-0.036151,0.022323,0.002150,0.522172,0.852545
312,1722943255.973091,-4.028749,0.774205,-0.026441,0.027482,-0.024287,0.518694,0.854173
313,1722943256.240133,-3.893727,0.915622,-0.006139,0.035404,-0.025174,0.507795,0.860382
314,1722943256.507167,-3.766866,1.070608,-0.010792,0.038508,-0.021650,0.543232,0.838420
315,1722943256.774164,-3.706410,1.230771,-0.003060,0.032204,-0.023881,0.618487,0.784772
316,1722943257.041254,-3.701610,1.387175,-0.012673,0.024630,-0.007719,0.675844,0.736593
317,1722943257.308273,-3.662052,1.615996,-0.040044,0.045775,-0.034433,0.694944,0.716779
318,1722943257.575305,-3.656030,1.814677,-0.026807,0.050087,-0.028528,0.722972,0.688468
319,1722943257.843867,-3.660893,1.987627,-0.052310,0.054566,-0.020402,0.759002,0.648477
320,1722943258.109520,-3.667928,2.231691,-0.045625,0.057649,-0.034931,0.807529,0.585963
321,1722943258.376598,-3.754124,2.368428,-0.028407,0.040995,-0.017293,0.885308,0.462872
322,1722943258.643563,-3.896552,2.459101,-0.042291,0.052332,-0.025540,0.926327,0.372192
323,1722943258.910683,-4.058868,2.546334,-0.040145,0.032395,0.013214,0.948466,0.314943
324,1722943259.177615,-4.207454,2.617081,-0.037922,0.029900,0.012983,0.968733,0.245955
325,1722943259.444792,-4.344474,2.687751,-0.044702,0.028836,0.001697,0.983775,0.177064
326,1722943259.711890,-4.481125,2.748508,-0.041626,0.012716,0.004562,0.991555,0.128982
327,1722943260.379544,-4.769921,2.846321,-0.028451,0.023060,0.009972,0.988404,0.149756
328,1722943261.047126,-4.965074,2.919594,-0.045020,0.032668,0.001290,0.991927,0.122525
329,1722943261.447588,-5.068823,2.941758,-0.212631,0.038643,-0.004558,0.992892,0.112481
330,1722943261.715301,-5.078543,2.940328,-0.354273,-0.011546,-0.019963,0.991701,0.126478
331,1722943262.115857,-5.123183,2.966457,-0.244617,-0.034856,0.040167,0.993052,0.104977
332,1722943262.516518,-5.133600,3.006041,-0.066091,-0.039958,0.020905,0.995719,0.080686
333,1722943262.783672,-5.192322,3.023431,-0.063944,-0.031777,0.014377,0.997742,0.057401
334,1722943263.450699,-5.563715,2.996904,-0.058913,0.004865,0.017612,0.995998,0.087483
335,1722943263.984865,-5.864668,2.982348,-0.068498,0.014676,0.020172,0.995356,0.092975
336,1722943264.385446,-6.112822,2.979858,-0.047519,0.036729,0.024904,0.990496,0.130183
337,1722943264.652417,-6.257230,2.981301,-0.046700,0.025987,0.024819,0.976112,0.214274
338,1722943264.919526,-6.349624,2.995109,-0.041150,0.025391,0.019520,0.939377,0.341388
339,1722943265.186388,-6.406778,3.016762,-0.042480,0.029350,0.016421,0.907619,0.418446
340,1722943265.587137,-6.519925,3.110478,-0.055456,0.027735,0.020069,0.875560,0.481895
341,1722943265.987682,-6.674410,3.280974,-0.042429,0.040791,0.020670,0.860579,0.507259
342,1722943266.254810,-6.751092,3.395539,-0.036489,0.029801,0.012239,0.838410,0.544087
343,1722943266.521678,-6.843332,3.520914,-0.036119,0.048185,0.010456,0.803164,0.593714
344,1722943266.788826,-6.894819,3.612093,-0.020040,0.045718,0.005950,0.764077,0.643475
345,1722943267.055794,-6.928202,3.717315,-0.023711,0.031056,0.003855,0.745161,0.666150
346,1722943267.456486,-6.982661,3.986616,-0.029877,0.041308,-0.007180,0.732737,0.679219
347,1722943267.857505,-7.006988,4.211231,-0.031198,0.036498,-0.007752,0.715046,0.698081
348,1722943268.257787,-7.046365,4.401154,-0.011477,0.040348,0.001179,0.692580,0.720211
349,1722943268.925499,-7.060249,4.817267,-0.009365,0.028532,-0.016315,0.677766,0.734543
